date,package,daily,weekly,monthly
2026-04-07,@agentsid/scanner,17,307,467
2026-04-07,@agentsid/mcp-scanner,26,609,609
2026-04-07,@agentsid/sdk,2,9,70
2026-04-07,@agentsid/proxy,7,28,64
2026-04-08,@agentsid/scanner,17,307,467
2026-04-08,@agentsid/mcp-scanner,26,609,609
2026-04-08,@agentsid/sdk,2,9,70
2026-04-08,@agentsid/proxy,7,28,64
2026-04-09,@agentsid/scanner,118,392,585
2026-04-09,@agentsid/mcp-scanner,17,626,626
2026-04-09,@agentsid/sdk,1,10,71
2026-04-09,@agentsid/proxy,1,19,65
2026-04-10,@agentsid/scanner,26,410,611
2026-04-10,@agentsid/mcp-scanner,36,662,662
2026-04-10,@agentsid/sdk,0,8,71
2026-04-10,@agentsid/proxy,0,16,65
2026-04-11,@agentsid/scanner,16,398,627
2026-04-11,@agentsid/mcp-scanner,17,263,679
2026-04-11,@agentsid/sdk,1,6,72
2026-04-11,@agentsid/proxy,1,14,66
2026-04-12,@agentsid/scanner,18,213,658
2026-04-12,@agentsid/mcp-scanner,3,115,686
2026-04-12,@agentsid/sdk,1,7,74
2026-04-12,@agentsid/proxy,1,11,68
2026-04-13,@agentsid/scanner,1,209,659
2026-04-13,@agentsid/mcp-scanner,2,105,688
2026-04-13,@agentsid/sdk,2,8,76
2026-04-13,@agentsid/proxy,3,14,71
2026-04-14,@agentsid/scanner,1,209,659
2026-04-14,@agentsid/mcp-scanner,2,105,688
2026-04-14,@agentsid/sdk,2,8,76
2026-04-14,@agentsid/proxy,3,14,71
2026-04-15,@agentsid/scanner,5,197,664
2026-04-15,@agentsid/mcp-scanner,0,79,688
2026-04-15,@agentsid/sdk,1,7,77
2026-04-15,@agentsid/proxy,2,9,73
2026-04-16,@agentsid/scanner,1,80,665
2026-04-16,@agentsid/mcp-scanner,0,62,688
2026-04-16,@agentsid/sdk,0,6,77
2026-04-16,@agentsid/proxy,0,8,73
2026-04-17,@agentsid/scanner,2,56,667
2026-04-17,@agentsid/mcp-scanner,0,26,688
2026-04-17,@agentsid/sdk,0,6,77
2026-04-17,@agentsid/proxy,0,8,73
2026-04-18,@agentsid/scanner,1,41,668
2026-04-18,@agentsid/mcp-scanner,2,11,690
2026-04-18,@agentsid/sdk,0,5,77
2026-04-18,@agentsid/proxy,0,7,73
2026-04-19,@agentsid/scanner,8,19,677
2026-04-19,@agentsid/mcp-scanner,1,5,691
2026-04-19,@agentsid/sdk,0,3,77
2026-04-19,@agentsid/proxy,0,5,73
2026-04-20,@agentsid/scanner,2,20,679
2026-04-20,@agentsid/mcp-scanner,3,6,694
2026-04-20,@agentsid/sdk,0,1,77
2026-04-20,@agentsid/proxy,0,2,73
2026-04-21,@agentsid/scanner,2,20,679
2026-04-21,@agentsid/mcp-scanner,3,6,694
2026-04-21,@agentsid/sdk,0,1,77
2026-04-21,@agentsid/proxy,0,2,73
2026-04-22,@agentsid/scanner,0,15,679
2026-04-22,@agentsid/mcp-scanner,0,6,694
2026-04-22,@agentsid/sdk,0,0,77
2026-04-22,@agentsid/proxy,0,0,73
2026-04-23,@agentsid/scanner,4,18,683
2026-04-23,@agentsid/mcp-scanner,6,12,700
2026-04-23,@agentsid/sdk,0,0,77
2026-04-23,@agentsid/proxy,0,0,73
2026-04-24,@agentsid/scanner,1,17,684
2026-04-24,@agentsid/mcp-scanner,2,14,702
2026-04-24,@agentsid/sdk,0,0,77
2026-04-24,@agentsid/proxy,0,0,73
2026-04-25,@agentsid/scanner,6,22,690
2026-04-25,@agentsid/mcp-scanner,15,27,717
2026-04-25,@agentsid/sdk,3,3,80
2026-04-25,@agentsid/proxy,4,4,77
2026-04-26,@agentsid/scanner,4,20,697
2026-04-26,@agentsid/mcp-scanner,1,27,718
2026-04-26,@agentsid/sdk,0,3,40
2026-04-26,@agentsid/proxy,0,5,78
2026-04-27,@agentsid/scanner,9,27,706
2026-04-27,@agentsid/mcp-scanner,8,32,726
2026-04-27,@agentsid/sdk,1,4,28
2026-04-27,@agentsid/proxy,1,6,79
2026-04-28,@agentsid/scanner,9,27,706
2026-04-28,@agentsid/mcp-scanner,8,32,726
2026-04-28,@agentsid/sdk,1,4,28
2026-04-28,@agentsid/proxy,1,6,79
2026-04-29,@agentsid/scanner,5,32,711
2026-04-29,@agentsid/mcp-scanner,0,32,726
2026-04-29,@agentsid/sdk,0,4,26
2026-04-29,@agentsid/proxy,0,6,79
2026-04-30,@agentsid/scanner,7,35,681
2026-04-30,@agentsid/mcp-scanner,4,30,730
2026-04-30,@agentsid/sdk,1,5,25
2026-04-30,@agentsid/proxy,2,8,81
2026-05-01,@agentsid/scanner,1,30,527
2026-05-01,@agentsid/mcp-scanner,1,14,731
2026-05-01,@agentsid/sdk,1,3,22
2026-05-01,@agentsid/proxy,2,6,37
2026-05-02,@agentsid/scanner,1,28,520
2026-05-02,@agentsid/mcp-scanner,1,15,732
2026-05-02,@agentsid/sdk,0,3,20
2026-05-02,@agentsid/proxy,0,5,34
2026-05-03,@agentsid/scanner,11,35,503
2026-05-03,@agentsid/mcp-scanner,13,27,329
2026-05-03,@agentsid/sdk,2,5,19
2026-05-03,@agentsid/proxy,2,7,33
